OOP Quiz,
"How do you model the following situation with a UML class diagram: A season worker may be employed in one or several 
 seasons the beginning and the end of each employment period is saved",association class
What is a synonym for strong aggregation?,composition
Which of the following differences between class diagrams and object diagrams are true?,Class diagrams describe a system on type level, object diagrams on instance level.
In Java primitive data types ...,can only be defined as static variables
Association classes are used to ...,Provide is-a relation between classes
An aggregation is a special ...,association
Which of the following statements about compositions (composite aggregations) are true?,When the composite element is deleted, the parts also die
Which of the following is a technique for hiding the internal implementation details of an object?,Encapsulation
How do you model the following situation: A doctor treats multiple patients a patient can be treated by  multiple doctors. Info of which doctor has treated which patient (can be multiple times) the date and diagnosis are stored.,"Doctor---Patient (treatment info stored in Patient);Doctor---Treatment---Patient (treatment info stored in Patient)"
A class diagram shows ... view of a system.,interaction
